"","x"
"120",1.87862989381488
"121",1.87895644556526
"122",1.87691097769777
"123",1.87302958388097
"124",1.86645458635333
"125",1.85766343133649
"126",1.84807378126802
"127",1.83872235884544
"128",1.82716211955949
"129",1.8170405220017
"130",1.80495233533476
"131",1.79618690123165
"132",1.78723959512111
"133",1.77687498686665
"134",1.7681473921187
"135",1.76166541264248
"136",1.75428784436619
"137",1.74645618646339
"138",1.73808311190041
"139",1.73123957346525
"140",1.72670354473853
"141",1.72473798611391
"142",1.72664366950249
"143",1.73301397202485
"144",1.74229841394131
"145",1.75532776070994
"146",1.77030494106318
"147",1.78613663778486
"148",1.80161064085888
"149",1.81568874891133
"150",1.82795773236696
"151",1.8397001654689
"152",1.85003894951604
"153",1.86037349829089
"154",1.87106692990403
"155",1.88243211862981
"156",1.8953632704924
"157",1.90994465638911
"158",1.92479094166181
"159",1.93699503700529
"160",1.95060791624575
"161",1.96266949854646
"162",1.97436846526474
"163",1.98888812523303
"164",2.00290384036123
"165",2.01339300043606
"166",2.02829668000248
"167",2.04362161714234
"168",2.05877708853027
"169",2.07530848190025
"170",2.09389593371994
"171",2.11381495424593
"172",2.13534868543803
"173",2.15741284156859
"174",2.17902712952844
"175",2.21071948266468
"176",2.24634020441903
"177",2.28548745219251
"178",2.32384091372138
"179",2.36026550452853
"180",2.39879113899338
"181",2.43987544791577
"182",2.47973788880373
"183",2.51489040508828
"184",2.54470069166664
"185",2.58166329873938
"186",2.61450330464878
"187",2.65297525510497
"188",2.69326440726839
"189",2.7349894155702
"190",2.77724663790251
"191",2.8147235113095
"192",2.85670283780725
"193",2.8977216193279
"194",2.93751518495495
"195",2.977172011755
"196",3.01592732012079
"197",3.05261062974661
"198",3.09107121302931
"199",3.1298800713747
"200",3.16875694445599
"201",3.20653709652371
"202",3.24371825718657
"203",3.28132860574003
"204",3.31891722793877
"205",3.35585050762318
"206",3.39219870685143
"207",3.42915087274714
"208",3.46705611006047
"209",3.50588089072498
"210",3.54482751667637
"211",3.58355858865758
"212",3.62065549735532
"213",3.65578325925944
"214",3.68933352086583
"215",3.72183773647413
"216",3.75114985058583
"217",3.78047063277452
"218",3.80952384377799
"219",3.83647300432724
"220",3.8612420661172
"221",3.88560534726924
"222",3.9109180195085
"223",3.93343119306971
"224",3.95405931485003
"225",3.97162458659292
"226",3.98604967574891
"227",3.997265278363
"228",4.00528928239628
"229",4.01125168053868
"230",4.01599087651384
"231",4.01839265514624
"232",4.01945223128282
"233",4.02066390355713
"234",4.02120939316764
"235",4.02045685355256
"236",4.0174734449813
"237",4.01330861547424
"238",4.00949161154301
"239",4.00536399820137
"240",4.00076579089936
"241",3.99662635682622
"242",3.99264884541562
"243",3.9885225530437
"244",3.98324110488357
"245",3.97691589364118
"246",3.9707764739233
"247",3.96466682661467
"248",3.95917337494102
"249",3.95553917262512
"250",3.95379150845577
"251",3.95334620430031
"252",3.95388342445613
"253",3.95432328047329
"254",3.95522980600761
"255",3.95595669767984
"256",3.95391231321723
"257",3.94923263460921
