"","x"
"286",-12.5243140905077
"287",-12.4404760457332
"288",-12.3694840807037
"289",-12.3102059453443
"290",-12.2633078294026
"291",-12.228797246504
"292",-12.2071206159934
"293",-12.1990176631206
"294",-12.2008655581972
"295",-12.2101630287451
"296",-12.2277171885513
"297",-12.2523556582988
"298",-12.2798895690106
"299",-12.304108411316
"300",-12.322973460252
"301",-12.3361345468214
"302",-12.3476561535993
"303",-12.3567346193506
"304",-12.3632354153712
"305",-12.362937204865
"306",-12.3538098044798
"307",-12.3384462227104
"308",-12.3171644106975
"309",-12.2926924398993
"310",-12.2671321277772
"311",-12.2397269030283
"312",-12.2088289345502
"313",-12.1718238669519
"314",-12.1255637353206
"315",-12.0727731952656
"316",-12.0156385938728
"317",-11.9507056201843
"318",-11.8804654842189
"319",-11.812183070914
"320",-11.7471884730725
"321",-11.6837815727166
"322",-11.62083252582
"323",-11.5599641990786
"324",-11.4988939685573
"325",-11.4356831706386
"326",-11.3715545888587
"327",-11.3053695616674
"328",-11.2343266366437
"329",-11.1586349904763
"330",-11.0742020248821
"331",-10.9793894096009
"332",-10.8775626875005
"333",-10.7662749830596
"334",-10.6437926125237
"335",-10.5158770591207
"336",-10.3841984720652
"337",-10.2471909596802
"338",-10.1061841668104
"339",-9.95769596376598
"340",-9.80323389192893
"341",-9.6442079099933
"342",-9.47873486307694
"343",-9.30756579320064
"344",-9.13231250427922
"345",-8.95052919682549
"346",-8.76191906234641
"347",-8.56382460783035
"348",-8.36116296246055
"349",-8.15722089071217
"350",-7.9534577644772
"351",-7.74986807697461
"352",-7.54570310274199
"353",-7.34118672835113
"354",-7.13964574025019
"355",-6.94258969459562
"356",-6.75086042121748
"357",-6.56488765630747
"358",-6.38393491421775
"359",-6.2076783544673
"360",-6.03508608256205
"361",-5.86387749909707
"362",-5.69556417262704
"363",-5.5314099096597
"364",-5.37071214485966
"365",-5.21244847860987
"366",-5.05788659271865
"367",-4.90465164065076
"368",-4.75235615957122
"369",-4.5982964542312
"370",-4.44539775399703
"371",-4.29418341279629
"372",-4.14285818929265
"373",-3.9942676937936
"374",-3.84688540975954
"375",-3.69919549486557
"376",-3.55309399345609
"377",-3.40959755112591
"378",-3.26960267048575
"379",-3.13268033497095
"380",-2.99945615912779
"381",-2.86973965705963
"382",-2.74316597550859
"383",-2.621790970692
"384",-2.50507607059157
"385",-2.3891778203
"386",-2.27427098578767
"387",-2.16117262502616
"388",-2.04889234958167
"389",-1.93939185953971
"390",-1.83167701135665
"391",-1.72519887111231
"392",-1.6227789828838
"393",-1.52432640534627
"394",-1.42956339028017
"395",-1.34010141550512
"396",-1.25639142490193
"397",-1.17786770364423
"398",-1.10398084333615
"399",-1.03233761869956
"400",-0.963292491468617
"401",-0.895710690357945
"402",-0.828480593867097
"403",-0.762610745896036
"404",-0.697785653642293
"405",-0.63359163982428
"406",-0.570484483989342
"407",-0.506748315094288
"408",-0.442952362375714
"409",-0.379786181160911
"410",-0.317694182422614
"411",-0.258166724324617
"412",-0.199498340096263
"413",-0.141355016495072
"414",-0.085486599910094
"415",-0.0309121443969475
"416",0.0220991497048985
"417",0.0728055844343253
"418",0.123609064517205
"419",0.172895602912908
"420",0.221115416580996
"421",0.269006416575948
"422",0.315568751267347
"423",0.360941624868368
"424",0.403868431440336
"425",0.444794937411059
"426",0.483776019916725
"427",0.52017097570014
"428",0.553718555086005
"429",0.585822329997838
"430",0.616539346028868
"431",0.645959800504546
"432",0.674616290471588
"433",0.702772524398477
"434",0.729862100311052
"435",0.756326520664729
"436",0.782393818183148
"437",0.808303140396024
"438",0.833346692115779
"439",0.857514534707408
