"","V1","V2"
"8461",1584520560,-1.79693872740147
"8462",1584520920,-1.79693660268524
"8463",1584521280,-1.79693447800529
"8464",1584521640,-1.79693235332534
"8465",1584522000,-1.79693022864539
"8466",1584522360,-1.79692810400172
"8467",1584522720,-1.79692597935804
"8468",1584523080,-1.79692385475064
"8469",1584523440,-1.79692173014323
"8470",1584523800,-1.79691960553583
"8471",1584524160,-1.79691748092843
"8472",1584524520,-1.7969153563573
"8473",1584524880,-1.79691323178617
"8474",1584525240,-1.79691110721504
"8475",1584525600,-1.79690898268019
"8476",1584525960,-1.79690685814533
"8477",1584526320,-1.79690473364675
"8478",1584526680,-1.79690260914817
"8479",1584527040,-1.79690048464958
"8480",1584527400,-1.796898360151
"8481",1584527760,-1.79689623565242
"8482",1584528120,-1.79689411115384
"8483",1584528480,-1.79689198665526
"8484",1584528840,-1.79688986219295
"8485",1584529200,-1.79688773773064
"8486",1584529560,-1.79688561326833
"8487",1584529920,-1.79688348880602
"8488",1584530280,-1.79688136434371
"8489",1584530640,-1.79687923988141
"8490",1584531000,-1.7968771154191
"8491",1584531360,-1.79687499095679
"8492",1584532080,-1.79687286649448
"8493",1584532440,-1.79687074203217
"8494",1584532800,-1.79686861756986
"8495",1584533160,-1.79686649310756
"8496",1584533520,-1.79686436864525
"8497",1584533880,-1.79686224418294
"8498",1584534240,-1.79686011972063
"8499",1584534600,-1.79685799525832
"8500",1584534960,-1.79685587079601
"8501",1584535320,-1.79685374633371
"8502",1584535680,-1.7968516218714
"8503",1584536040,-1.79684949740909
"8504",1584536400,-1.79684737294678
"8505",1584536760,-1.79684524848447
"8506",1584537120,-1.79684312402216
"8507",1584537480,-1.79684099955986
"8508",1584537840,-1.79683887509755
"8509",1584538200,-1.79683675063524
"8510",1584538560,-1.79683462617293
"8511",1584538920,-1.79683250171062
"8512",1584539280,-1.79683037724831
"8513",1584539640,-1.79682825278601
"8514",1584540000,-1.7968261283237
"8515",1584540360,-1.79682400386139
"8516",1584540720,-1.79682187939908
"8517",1584541080,-1.79681975493677
"8518",1584541440,-1.79681763047447
"8519",1584541800,-1.79681550601216
"8520",1584542160,-1.79681338154985
"8521",1584542520,-1.79681125708754
"8522",1584542880,-1.79680913262523
"8523",1584543240,-1.79680700816292
"8524",1584543600,-1.79680488370062
"8525",1584543960,-1.79680275923831
"8526",1584544320,-1.79680063481227
"8527",1584544680,-1.79679851038624
"8528",1584545040,-1.7967963859602
"8529",1584545400,-1.79679426153417
"8530",1584545760,-1.79679213710813
"8531",1584546120,-1.7967900126821
"8532",1584546480,-1.79678788825606
"8533",1584546840,-1.79678576383003
"8534",1584547200,-1.79678363940399
"8535",1584547560,-1.79678151497796
"8536",1584547920,-1.7967793905882
"8537",1584548280,-1.79677726619844
"8538",1584548640,-1.79677514184495
"8539",1584549000,-1.79677301749146
"8540",1584549360,-1.79677089313797
"8541",1584549720,-1.79676876878449
"8542",1584550080,-1.79676664446727
"8543",1584550440,-1.79676452018633
"8544",1584550800,-1.79676239590539
"8545",1584551160,-1.79676027164259
"8546",1584551520,-1.79675814741606
"8547",1584551880,-1.7967560232258
"8548",1584552240,-1.79675389907182
"8549",1584552600,-1.79675177495411
"8550",1584552960,-1.79674965087268
"8551",1584553320,-1.79674752682751
"8552",1584553680,-1.79674540281862
"8553",1584554040,-1.79674327884601
"8554",1584554400,-1.79674115490967
"8555",1584554760,-1.7967390310096
"8556",1584555120,-1.79673690714581
"8557",1584555480,-1.79673478331829
"8558",1584555840,-1.79673265952704
"8559",1584556200,-1.79673053573579
"8560",1584556560,-1.79672841198082
"8561",1584556920,-1.79672628826212
"8562",1584557280,-1.79672416457969
"8563",1584557640,-1.79672204093354
"8564",1584558000,-1.79671991732366
"8565",1584558360,-1.79671779375006
"8566",1584558720,-1.79671567021273
"8567",1584559080,-1.79671354671167
"8568",1584559440,-1.79671142324688
"8569",1584559800,-1.7967092997821
"8570",1584560160,-1.79670717635359
"8571",1584560520,-1.79670505296135
"8572",1584560880,-1.79670292956911
"8573",1584561240,-1.79670080617688
"8574",1584561600,-1.79669868280278
"8575",1584561960,-1.79669655946495
